SAT Math,SAT Verbal,GPA,Credits earned,Family income,Days drinking (last 30 days),Income
4,3,400,17,78450,0,28000
4,3,181,69,25000,5,25000
6,6,383,24,6251,10,6000
4,4,336,164,12000,10,12000
5,4,364,167,8200,3,8200
5,4,299,108,123000,3,52000
4,5,374,105,25750,10,25000
2,3,268,55,35000,0,35000
3,3,349,198,86000,5,48000
4,4,378,149,130000,3,10000
3,5,313,49,32180,3,7800
3,3,299,96,30005,4,30000
5,5,313,181,77500,3,40000
5,4,342,126,20750,6,12000
5,5,340,36,18260,4,18000
4,4,161,22,45000,2,20000
2,3,375,120,84000,0,14500
4,5,389,62,14254,3,14254
3,3,258,60,111600,0,8600
4,4,237,160,15000,7,13000
3,3,100,3,52500,6,15000
3,4,0,0,44000,0,24000
3,4,314,30,56250,0,3000
6,6,376,138,41750,5,41000
5,5,321,118,40500,2,40000
3,4,305,32,41484,1,11484
5,5,337,130,18250,30,8000
3,4,0,0,146000,10,30000
6,6,347,121,30958,10,30958
4,4,359,137,30009,8,30000
3,3,319,7,130000,20,20000
3,4,331,31,59500,0,22000
5,3,253,67,47000,2,24000
4,4,224,129,25000,5,25000
5,5,400,33,35000,5,35000
2,4,247,124,31000,12,31000
4,4,259,86,75010,10,20000
3,4,261,135,31350,15,30000
5,3,187,97,165300,5,35000
5,6,200,4,44960,4,13000
4,3,254,120,27100,0,27000
4,4,352,53,47000,1,19000
3,3,287,176,41150,15,18000
3,3,173,30,21000,6,20000
5,6,293,33,15000,4,15000
4,4,252,20,40472,3,24000
3,4,301,125,51000,15,27000
4,4,320,126,102000,8,5000
5,5,340,10,4750,22,4000
6,6,320,12,40500,6,10500
5,3,284,133,25250,3,25000
3,3,278,16,41501,15,22500
5,5,325,197,279104,2,36000
3,3,318,43,15000,15,10000
5,5,238,133,54250,10,4000
5,6,324,48,110750,25,7000
3,4,0,0,13250,2,3000
2,3,301,93,31248,2,27000
1,2,245,64,67950,22,29000
3,2,332,0,120750,3,12000
3,4,243,26,20400,3,10400
4,4,193,86,30000,3,15000
3,3,300,6,59006,2,25000
5,3,377,87,45906,1,10000
4,4,256,16,79250,3,34000
4,2,266,48,4950,10,4200
2,4,237,32,35250,4,35000
6,5,183,76,5550,8,5300
3,4,328,127,112250,4,23000
4,4,268,64,80000,5,42000
3,5,310,37,22500,20,5000
4,3,373,156,58000,15,58000
3,3,246,120,279104,10,35000
3,3,75,6,57500,10,6000
5,5,339,124,279104,7,46000
4,4,357,132,5050,10,5000
4,3,355,87,109001,5,112215
3,3,0,0,279104,7,26000
4,2,235,123,69000,6,69000
2,2,103,20,10000,2,10000
5,4,78,19,63428,2,18000
